iter	Passed	Remaining
403	10713	42324
404	10738	42292
405	10763	42260
406	10786	42220
407	10812	42190
408	10836	42154
409	10860	42118
410	10880	42066
411	10905	42034
412	10929	41998
413	10954	41964
414	10979	41934
415	11003	41897
416	11027	41861
417	11052	41828
418	11075	41791
419	11098	41751
420	11132	41752
421	11152	41703
422	11179	41678
423	11203	41642
424	11230	41617
425	11254	41583
426	11278	41546
427	11303	41516
428	11327	41480
429	11349	41439
430	11370	41394
431	11396	41363
432	11417	41320
433	11455	41334
434	11480	41304
435	11504	41268
436	11528	41233
437	11552	41197
438	11576	41163
439	11601	41132
440	11625	41098
441	11651	41070
442	11673	41027
443	11698	40995
444	11725	40972
445	11747	40930
446	11770	40895
447	11796	40865
448	11829	40864
449	11854	40830
450	11879	40801
451	11904	40771
452	11930	40741
453	11952	40701
454	11978	40673
455	12001	40637
456	12025	40603
457	12051	40576
458	12076	40544
459	12100	40509
460	12126	40481
461	12153	40460
462	12180	40433
463	12200	40387
464	12224	40355
465	12250	40328
466	12277	40303
467	12301	40268
468	12328	40244
469	12351	40209
470	12376	40176
471	12399	40140
472	12425	40113
473	12450	40084
474	12473	40046
475	12498	40016
476	12523	39984
477	12546	39950
478	12568	39910
479	12590	39870
480	12615	39838
481	12639	39806
482	12667	39786
483	12696	39769
484	12723	39744
485	12749	39717
486	12772	39679
487	12796	39647
488	12819	39611
489	12845	39585
490	12868	39549
491	12893	39520
492	12916	39483
493	12937	39441
494	12961	39409
495	12984	39371
496	13008	39340
497	13032	39307
498	13066	39303
499	13087	39261
500	13116	39244
501	13146	39228
502	13168	39191
503	13192	39158
504	13217	39129
505	13242	39099
506	13268	39071
507	13291	39037
508	13319	39017
509	13344	38985
510	13368	38954
511	13389	38914
512	13414	38885
513	13437	38847
514	13463	38821
515	13487	38790
516	13511	38756
517	13536	38728
518	13557	38687
519	13583	38661
520	13608	38631
521	13632	38598
522	13655	38563
523	13677	38526
524	13700	38492
525	13722	38454
526	13745	38420
527	13766	38378
528	13789	38345
529	13816	38320
530	13840	38289
531	13867	38265
532	13891	38235
533	13914	38200
534	13935	38159
535	13958	38125
536	13983	38096
537	14021	38104
538	14045	38071
539	14069	38039
540	14091	38003
541	14113	37965
542	14138	37936
543	14161	37902
544	14184	37868
545	14208	37838
546	14230	37801
547	14258	37780
548	14280	37743
549	14309	37723
550	14332	37691
551	14355	37658
552	14378	37623
553	14399	37583
554	14423	37553
555	14448	37523
556	14469	37485
557	14492	37451
558	14516	37420
559	14541	37391
560	14564	37358
561	14588	37326
562	14615	37305
563	14638	37270
564	14660	37235
565	14684	37204
566	14707	37170
567	14727	37128
568	14750	37096
569	14774	37066
570	14797	37032
571	14821	37001
572	14843	36965
573	14865	36930
574	14891	36903
575	14920	36888
576	14950	36871
577	14975	36843
578	15001	36818
579	15026	36787
580	15050	36757
581	15076	36731
582	15097	36695
583	15121	36663
584	15143	36630
585	15166	36596
586	15189	36563
587	15215	36538
588	15239	36507
589	15262	36473
590	15288	36450
591	15311	36417
592	15332	36379
593	15355	36347
594	15392	36345
595	15416	36316
596	15438	36281
597	15465	36257
598	15487	36222
599	15512	36196
600	15533	36159
601	15557	36128
602	15578	36092
603	15603	36063
604	15627	36033
605	15653	36009
606	15680	35985
607	15705	35956
608	15728	35923
609	15752	35896
610	15779	35871
611	15801	35838
612	15825	35807
613	15862	35806
614	15886	35777
615	15911	35748
616	15933	35714
617	15957	35684
618	15980	35652
619	16003	35620
620	16026	35587
621	16050	35557
622	16073	35526
623	16112	35531
624	16138	35505
625	16163	35476
626	16188	35449
627	16213	35422
628	16240	35398
629	16264	35368
630	16287	35337
631	16314	35312
632	16337	35281
633	16361	35251
634	16387	35226
635	16410	35193
636	16433	35162
637	16455	35129
638	16480	35101
639	16504	35072
640	16528	35042
641	16553	35014
642	16581	34993
643	16609	34973
644	16640	34958
645	16667	34934
646	16694	34910
647	16721	34888
648	16745	34859
649	16772	34834
650	16795	34804
651	16818	34772
652	16841	34741
653	16866	34713
654	16892	34687
655	16914	34654
656	16938	34624
657	16961	34592
658	16984	34561
659	17005	34527
660	17028	34495
661	17054	34469
662	17077	34437
663	17103	34413
664	17133	34395
665	17163	34378
666	17189	34352
667	17225	34347
668	17252	34324
669	17277	34297
670	17301	34267
671	17326	34241
672	17350	34212
673	17384	34200
674	17405	34167
675	17432	34143
676	17457	34116
677	17478	34081
678	17502	34050
679	17525	34019
680	17549	33991
681	17573	33961
682	17594	33926
683	17622	33905
684	17645	33875
685	17669	33845
686	17694	33817
687	17716	33785
688	17739	33753
689	17766	33730
690	17803	33726
691	17827	33696
692	17850	33665
693	17882	33652
694	17909	33629
695	17932	33598
696	17971	33597
697	17997	33571
698	18022	33544
699	18046	33514
700	18070	33485
701	18092	33452
702	18115	33421
703	18139	33392
704	18163	33364
705	18189	33339
706	18210	33303
707	18235	33277
708	18258	33246
709	18282	33216
710	18307	33190
711	18331	33162
712	18367	33153
713	18390	33123
714	18414	33095
715	18437	33064
716	18463	33038
717	18488	33010
718	18512	32982
719	18534	32950
720	18557	32919
721	18578	32885
722	18602	32857
723	18625	32826
724	18649	32797
725	18672	32767
726	18693	32732
727	18716	32703
728	18739	32672
729	18764	32645
730	18789	32617
731	18810	32584
732	18836	32558
733	18863	32535
734	18889	32510
735	18915	32485
736	18943	32463
737	18971	32441
738	18994	32411
739	19016	32379
740	19039	32349
741	19065	32324
742	19095	32306
743	19119	32277
744	19145	32252
745	19168	32221
746	19203	32211
747	19231	32189
748	19256	32163
749	19283	32138
750	19307	32111
751	19335	32087
752	19363	32067
753	19396	32053
754	19423	32030
755	19452	32009
756	19477	31981
757	19500	31951
758	19524	31923
759	19549	31896
760	19574	31870
761	19598	31840
762	19622	31812
763	19647	31786
764	19672	31759
765	19697	31731
766	19720	31701
767	19754	31688
768	19777	31659
769	19801	31631
770	19822	31597
771	19846	31568
772	19870	31541
773	19892	31509
774	19918	31483
775	19941	31453
776	19967	31428
777	19993	31402
778	20020	31379
779	20059	31374
780	20083	31346
781	20108	31320
782	20132	31291
783	20154	31260
784	20187	31245
785	20212	31218
786	20236	31190
787	20260	31162
788	20283	31132
789	20307	31104
790	20329	31072
791	20354	31045
792	20378	31017
793	20403	30991
794	20428	30963
795	20452	30935
796	20475	30905
797	20499	30877
798	20521	30846
799	20545	30817
800	20567	30787
801	20591	30759
802	20619	30736
803	20641	30704
804	20664	30676
805	20688	30647
806	20713	30620
807	20740	30597
808	20768	30575
809	20794	30549
810	20823	30529
811	20850	30504
812	20876	30480
813	20904	30457
814	20927	30429
815	20965	30420
816	20989	30392
817	21012	30363
818	21036	30334
819	21061	30308
820	21084	30278
821	21107	30248
822	21130	30219
823	21154	30191
824	21178	30163
825	21202	30134
826	21227	30109
827	21252	30082
828	21274	30051
829	21296	30019
830	21319	29990
831	21341	29960
832	21365	29932
833	21391	29906
834	21415	29878
835	21440	29852
836	21466	29826
837	21490	29799
838	21514	29771
839	21537	29742
840	21563	29716
841	21589	29691
842	21614	29666
843	21642	29642
844	21669	29619
845	21692	29590
846	21717	29563
847	21743	29538
848	21768	29511
849	21793	29485
850	21818	29458
851	21843	29432
852	21867	29404
853	21896	29382
854	21920	29355
855	21945	29328
856	21966	29296
857	21990	29268
858	22011	29238
859	22034	29208
860	22058	29180
861	22083	29153
862	22108	29127
863	22133	29101
864	22158	29074
865	22182	29047
866	22207	29021
867	22231	28993
868	22252	28962
869	22276	28934
870	22307	28915
871	22331	28887
872	22354	28858
873	22376	28828
874	22400	28801
875	22424	28772
876	22463	28765
877	22489	28739
878	22513	28711
879	22536	28683
880	22559	28653
881	22580	28622
882	22603	28593
883	22627	28566
884	22650	28537
885	22676	28512
886	22698	28481
887	22722	28454
888	22745	28425
889	22772	28401
890	22796	28374
891	22823	28350
892	22847	28322
893	22872	28296
894	22894	28266
895	22921	28242
896	22944	28214
897	22970	28188
898	22995	28162
899	23020	28136
900	23042	28106
901	23067	28079
902	23093	28055
903	23117	28027
904	23140	27998
905	23162	27968
906	23191	27947
907	23213	27917
908	23238	27891
909	23269	27872
910	23292	27843
911	23316	27816
912	23341	27790
913	23368	27765
914	23393	27740
915	23419	27715
916	23443	27687
917	23466	27658
918	23488	27628
919	23512	27601
920	23535	27573
921	23578	27568
922	23603	27541
923	23623	27510
924	23647	27482
925	23675	27458
926	23700	27433
927	23725	27406
928	23747	27377
929	23773	27351
930	23796	27323
931	23827	27304
932	23856	27282
933	23882	27257
934	23911	27236
935	23936	27210
936	23962	27184
937	23987	27158
938	24011	27130
939	24037	27105
940	24064	27082
941	24092	27059
942	24128	27045
943	24151	27017
944	24175	26989
945	24200	26963
946	24224	26936
947	24248	26908
948	24277	26886
949	24301	26859
950	24325	26831
951	24350	26805
952	24374	26778
953	24399	26753
954	24426	26728
955	24447	26697
956	24472	26671
957	24497	26645
958	24520	26617
959	24544	26589
960	24568	26563
961	24594	26537
962	24619	26511
963	24646	26487
964	24671	26461
965	24693	26431
966	24718	26406
967	24742	26378
968	24768	26353
969	24791	26324
970	24816	26298
971	24838	26269
972	24863	26243
973	24888	26217
974	24924	26203
975	24952	26179
976	24978	26154
977	25001	26126
978	25024	26098
979	25049	26071
980	25075	26046
981	25096	26017
982	25121	25990
983	25148	25966
984	25173	25939
985	25196	25912
986	25220	25884
987	25243	25856
988	25270	25832
989	25296	25807
990	25323	25783
991	25368	25777
992	25392	25750
993	25416	25723
994	25441	25697
995	25465	25670
996	25489	25643
997	25515	25618
998	25539	25591
999	25565	25565
1000	25588	25537
1001	25614	25511
1002	25638	25485
1003	25662	25458
1004	25687	25432
1005	25708	25401
1006	25732	25374
1007	25758	25349
1008	25781	25321
1009	25807	25296
1010	25831	25269
1011	25857	25244
1012	25880	25216
1013	25905	25189
1014	25926	25160
1015	25952	25134
1016	25977	25108
1017	26005	25085
1018	26033	25062
1019	26060	25038
1020	26088	25015
1021	26117	24992
1022	26140	24964
1023	26166	24940
1024	26192	24915
1025	26218	24889
1026	26242	24862
1027	26267	24836
1028	26302	24820
