iter	Logloss
0	0.6925807121
1	0.6922945983
2	0.6918410337
3	0.6913169935
4	0.6908607679
5	0.6903769525
6	0.6900961267
7	0.6895984974
8	0.6891753754
9	0.6888693295
10	0.6885983591
11	0.6883224855
12	0.6878492001
13	0.6875898367
14	0.6872919943
15	0.6868014163
16	0.6865390212
17	0.6862781911
18	0.686002919
19	0.6855329748
20	0.6852014575
21	0.6849656053
22	0.6847084279
23	0.6844366193
24	0.6839783588
25	0.6835654232
26	0.6833425668
27	0.6831105483
28	0.6827302946
29	0.6824343851
30	0.682199622
31	0.6819593535
32	0.6817214246
33	0.6814907917
34	0.6812590082
35	0.6809204425
36	0.6805590924
37	0.6802264751
38	0.6800179275
39	0.6798145001
40	0.6796163198
41	0.6792716629
42	0.6789303195
43	0.678747798
44	0.6785314103
45	0.6783198699
46	0.6781367554
47	0.6778247047
48	0.6775556887
49	0.6772734567
50	0.6769862602
51	0.6767137922
52	0.6765253027
53	0.6762864045
54	0.676108767
55	0.6759385397
56	0.6756906966
57	0.6755162577
58	0.6753229858
59	0.675063378
60	0.6748925322
61	0.6747291801
62	0.6745335166
63	0.6743606676
64	0.6741932673
65	0.6740391547
66	0.6738742488
67	0.6735388806
68	0.6733627641
69	0.6731312188
70	0.6729677387
71	0.6728159454
72	0.6726527812
73	0.6723306418
74	0.6721838859
75	0.6718699013
76	0.6715645565
77	0.6714098414
78	0.6712101245
79	0.6709301489
80	0.6706188196
81	0.6703652633
82	0.6702306271
83	0.6701029225
84	0.6699727918
85	0.6697347341
86	0.6695839736
87	0.6693414492
88	0.6691012893
89	0.6688723664
90	0.6687226672
91	0.668587624
92	0.6683570885
93	0.6680701667
94	0.6679371927
95	0.6678059638
96	0.6675333563
97	0.6674136096
98	0.6672341633
99	0.667065723
100	0.6669439385
101	0.6668073882
102	0.666606839
103	0.6665008359
104	0.6663901191
105	0.6662277252
106	0.6661152119
107	0.666002053
108	0.6657344429
109	0.6656222507
110	0.6653927925
111	0.6652339811
112	0.6651277693
113	0.6650177628
114	0.6648488635
115	0.6646851248
116	0.6645639684
117	0.6644497312
118	0.6642850795
119	0.6641850721
120	0.6639950252
121	0.6637372935
122	0.6636299299
123	0.6634110181
124	0.6633175023
125	0.6631982239
126	0.6631060659
127	0.6630083679
128	0.662782384
129	0.6626878288
130	0.6625572295
131	0.6624535974
132	0.6623614327
133	0.6621924777
134	0.6620884081
135	0.6619926895
136	0.6617845503
137	0.661667684
138	0.6615766335
139	0.6615011293
140	0.6613010453
141	0.6611700411
142	0.6610855809
143	0.660994803
144	0.6609079155
145	0.6608196128
146	0.6607406909
147	0.660659433
148	0.6605777935
149	0.6604868339
150	0.660406465
151	0.6603363295
152	0.6601798378
153	0.6600949999
154	0.6599578752
155	0.6598178415
156	0.6597385884
157	0.6596467012
158	0.6595739803
159	0.6594584013
160	0.6593923912
161	0.6593251947
162	0.6591515854
163	0.6589717443
164	0.6588875032
165	0.6588248025
166	0.6587451818
167	0.6586053139
168	0.6585463523
169	0.6584697742
170	0.6583553546
171	0.6582375107
172	0.6581669914
173	0.6580902363
174	0.6579517485
175	0.6577865946
176	0.6577263463
177	0.6576551793
178	0.6575320199
179	0.6573272071
180	0.6572030902
181	0.6571073713
182	0.6570363897
183	0.6569841064
184	0.6569241365
185	0.6568156829
186	0.6567557443
187	0.6565940978
188	0.6565275166
189	0.6564134455
190	0.6562708174
191	0.6561446481
192	0.6560403911
193	0.6559340542
194	0.6558749502
195	0.6557601373
196	0.655611217
197	0.6555267456
198	0.6554424845
199	0.655353227
200	0.655303593
201	0.6552217688
202	0.655171324
203	0.6550713176
204	0.6549101892
205	0.6548526386
206	0.6547993032
207	0.6546962285
208	0.6545903056
209	0.6545371577
210	0.654493748
211	0.654449094
212	0.6543249376
213	0.6542759268
214	0.654220011
215	0.6541093591
216	0.6540593485
217	0.6539158762
218	0.6538189701
219	0.6537711021
220	0.6536583602
221	0.6535687102
222	0.6535091534
223	0.6534458056
224	0.6533372209
225	0.6532976434
226	0.653235645
227	0.6531094436
228	0.6529870682
229	0.6529047837
230	0.6528063307
231	0.6527247085
232	0.6526891601
233	0.6526517501
234	0.6526128085
235	0.6524747654
236	0.6524326308
237	0.6523370879
238	0.6522812039
239	0.6522440211
240	0.6521554914
241	0.6519591329
242	0.6519214737
243	0.651885278
244	0.651849111
245	0.6517592102
246	0.6515204082
247	0.6514230601
248	0.6512550899
249	0.6512138026
250	0.6511381734
251	0.6510957354
252	0.65099753
253	0.6508687433
254	0.6508119933
255	0.6506499231
256	0.6505412287
257	0.6504496525
258	0.6503650392
259	0.6502888744
260	0.6501534488
261	0.6501130573
262	0.650064054
263	0.6500264198
264	0.6499820624
265	0.6499462164
266	0.6498309801
267	0.6497909667
268	0.6497673288
269	0.6497328293
270	0.6496446492
271	0.649527564
272	0.6494070011
273	0.6493151552
274	0.6492732495
275	0.6491895007
276	0.6491534385
277	0.6491029683
278	0.6490330626
279	0.6489884939
280	0.6488832402
281	0.6488208676
282	0.6487814688
283	0.6487243568
284	0.6486883935
285	0.6486105251
286	0.6484502714
287	0.6484232271
288	0.6483942507
289	0.6483676367
290	0.6483085243
291	0.6482541998
292	0.6482010905
293	0.6480932545
294	0.6480692915
295	0.6480328112
296	0.6479489296
297	0.6478883247
298	0.6478522735
299	0.6478258081
300	0.6477711049
301	0.6477086512
302	0.6476711547
303	0.6476426246
304	0.6475822242
305	0.6474877633
306	0.6474585346
